證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)	成交值(千元)
2317   	鴻海         	20170901	  117.00	  118.00	  117.00	  117.50	    17581	     2063796
2330   	台積電       	20170901	  215.00	  217.50	  215.00	  216.50	    17805	     3851834
2412   	中華電       	20170901	  104.50	  105.00	  104.50	  104.50	     8094	      847906
Y9999  	加權指數     	20170901	10576.27	10619.52	10568.72	10594.82	  6064861	   115511578
2317   	鴻海         	20170904	  116.50	  117.50	  116.00	  116.50	    19131	     2232915
2330   	台積電       	20170904	  216.50	  218.00	  215.50	  217.50	    15053	     3273164
2412   	中華電       	20170904	  104.50	  105.00	  104.50	  105.00	     5130	      537741
Y9999  	加權指數     	20170904	10585.44	10610.04	10555.34	10569.87	  5498749	   106969189
2317   	鴻海         	20170905	  116.50	  117.00	  115.50	  116.50	    28540	     3314380
2330   	台積電       	20170905	  218.00	  218.00	  216.50	  218.00	    34514	     7503488
2412   	中華電       	20170905	  105.00	  105.00	  104.00	  104.50	    11143	     1165717
Y9999  	加權指數     	20170905	10584.10	10617.84	10564.26	10617.84	  5873609	   120738411
2317   	鴻海         	20170906	  116.00	  116.50	  115.00	  115.50	    30304	     3508485
2330   	台積電       	20170906	  216.50	  218.00	  216.00	  217.00	    28148	     6117444
2412   	中華電       	20170906	  104.50	  105.00	  104.00	  104.00	     9773	     1019240
Y9999  	加權指數     	20170906	10593.87	10604.92	10519.71	10547.86	  6210529	   130345356
2317   	鴻海         	20170907	  115.50	  116.50	  115.00	  115.50	    25406	     2931630
2330   	台積電       	20170907	  218.00	  218.50	  216.00	  217.00	    19198	     4170321
2412   	中華電       	20170907	  104.00	  104.50	  104.00	  104.50	     6217	      648706
Y9999  	加權指數     	20170907	10564.79	10604.02	10509.91	10538.51	  6412690	   132970074
2317   	鴻海         	20170908	  116.00	  117.50	  115.50	  117.00	    39679	     4635824
2330   	台積電       	20170908	  217.00	  218.00	  216.50	  218.00	    25512	     5549520
2412   	中華電       	20170908	  104.50	  105.00	  104.00	  105.00	     8875	      930451
Y9999  	加權指數     	20170908	10553.90	10609.95	10550.72	10609.95	  5779683	   122808831
2317   	鴻海         	20170911	  117.50	  118.00	  115.50	  116.00	    21045	     2452053
2330   	台積電       	20170911	  219.00	  219.50	  216.50	  217.00	    19387	     4215723
2412   	中華電       	20170911	  104.50	  105.00	  104.50	  104.50	     4819	      505312
Y9999  	加權指數     	20170911	10630.16	10656.25	10565.78	10572.16	  5920435	   132729410
2317   	鴻海         	20170912	  117.00	  117.50	  116.00	  117.00	    19715	     2297617
2330   	台積電       	20170912	  219.00	  219.50	  217.50	  219.00	    24862	     5437521
2412   	中華電       	20170912	  105.00	  105.00	  104.50	  104.50	     5463	      572131
Y9999  	加權指數     	20170912	10610.33	10646.55	10586.28	10610.35	  5769101	   126290984
2317   	鴻海         	20170913	  116.50	  117.50	  115.50	  115.50	    24576	     2851864
2330   	台積電       	20170913	  217.50	  219.00	  217.50	  218.00	    18336	     3998984
2412   	中華電       	20170913	  104.50	  105.00	  104.00	  104.00	     4413	      461030
Y9999  	加權指數     	20170913	10596.36	10620.31	10532.88	10532.88	  5853111	   130257893
2317   	鴻海         	20170914	  115.50	  115.50	  114.00	  114.50	    31054	     3563543
2330   	台積電       	20170914	  218.50	  219.00	  217.50	  218.50	    21508	     4701852
2412   	中華電       	20170914	  104.00	  104.50	  104.00	  104.00	     3699	      385647
Y9999  	加權指數     	20170914	10533.99	10572.71	10508.72	10553.57	  5522954	   123687874
2317   	鴻海         	20170915	  114.00	  115.00	  114.00	  115.00	    53127	     6093815
2330   	台積電       	20170915	  218.50	  219.00	  217.00	  218.50	    48901	    10668230
2412   	中華電       	20170915	  104.00	  104.50	  104.00	  104.50	     6608	      690101
Y9999  	加權指數     	20170915	10556.82	10580.78	10520.15	10580.41	  6482820	   158750379
2317   	鴻海         	20170918	  114.00	  115.00	  113.00	  114.00	    46673	     5321846
2330   	台積電       	20170918	  219.00	  220.00	  218.00	  219.50	    17812	     3905801
2412   	中華電       	20170918	  104.00	  104.50	  104.00	  104.00	     3946	      411103
Y9999  	加權指數     	20170918	10590.80	10642.40	10581.81	10631.57	  6950033	   135735383
